,Match ID,Duración (s),Modo de juego,Parche,Equipo Ganador,Equipo,Invocador,Campeón,Runas,Hechizos,K/D/A,Daño total,Daño recibido,Oro acumulado,Objetos,Racha Asesinatos,Daño a Torres,Daño a Dragones/Barones,Asistencias,Barón Kills,Nivel de recompensa,Experiencia,Nivel,Pings - All In,Pings - Assist Me,Pings - Enemy Missing,Kills,Deaths,Double Kills,Triple Kills,Quadra Kills,Penta Kills,Dragon Kills,Inhibitor Kills,Torre Destruida,Nexus Kills,Total Minions,Total Heal,Total CC,Total Time Dead,Vision Score,Wards Puestos,Wards Destruidos,Rol,Campeón y Rol,Campeón y Rol por Partida,KDA
1,EUW1_7285911444,1666,CLASSIC,15.2.652.1536,Red,Blue,EL EKOINOMISTA,Diana,Desconocido (Desconocido),"4, 11",2/6/5,16033,30625,11535,"Desconocido, Liandry's Anguish, Riftmaker, Desconocido, Amplifying Tome, Desconocido, Oracle Lens",0,1542,42535,5,0,2,14582,15,0,8,0,2,6,0,0,0,0,3,0,1,0,30,11588,296,228,17,3,0,JUNGLA,Diana (JUNGLA),EUW1_7285911444 - Diana (JUNGLA),13
11,EUW1_7285877509,1162,CLASSIC,15.2.652.1536,Red,Blue,EL EKOINOMISTA,Diana,Desconocido (Desconocido),"4, 11",0/5/2,9222,21166,6203,"Fiendish Codex, Liandry's Anguish, Slightly Magical Footwear, Desconocido, Desconocido, Desconocido, Oracle Lens",0,0,12660,2,0,0,8254,11,0,1,0,0,5,0,0,0,0,1,0,0,0,9,8468,204,144,12,4,2,JUNGLA,Diana (JUNGLA),EUW1_7285877509 - Diana (JUNGLA),7
21,EUW1_7285831415,1102,CLASSIC,15.2.652.1536,Blue,Blue,EL EKOINOMISTA,Diana,Desconocido (Desconocido),"4, 11",5/2/6,8539,14754,8499,"Riftmaker, Liandry's Anguish, Desconocido, Slightly Magical Footwear, Desconocido, Desconocido, Oracle Lens",3,2407,25991,6,0,5,8933,12,1,5,0,5,2,0,0,0,0,1,0,0,0,7,8877,139,41,21,3,6,JUNGLA,Diana (JUNGLA),EUW1_7285831415 - Diana (JUNGLA),13
36,EUW1_7285786630,1693,CLASSIC,15.2.652.1536,Blue,Red,EL EKOINOMISTA,Diana,Desconocido (Desconocido),"4, 11",7/7/4,16931,39565,11976,"Mercury's Treads, Riftmaker, Desconocido, Fiendish Codex, Liandry's Anguish, Amplifying Tome, Oracle Lens",3,0,29816,4,0,7,13323,15,0,9,0,7,7,1,0,0,0,1,0,0,0,40,14329,207,217,26,6,4,JUNGLA,Diana (JUNGLA),EUW1_7285786630 - Diana (JUNGLA),18
47,EUW1_7285727022,2075,CLASSIC,15.2.652.1536,Blue,Red,EL EKOINOMISTA,Orianna,Desconocido (Desconocido),"4, 12",2/9/6,23318,29188,11862,"Luden's Tempest, Zhonya's Hourglass, Amplifying Tome, Seraph's Embrace, Sorcerer's Shoes, Doran's Ring, Farsight Alteration",2,5991,8433,6,0,2,14491,15,0,14,3,2,9,0,0,0,0,0,1,1,0,229,1178,519,337,16,13,2,MID,Orianna (MID),EUW1_7285727022 - Orianna (MID),17
52,EUW1_7285682456,1778,CLASSIC,15.2.652.1536,Red,Blue,EL EKOINOMISTA,Mel,Desconocido (Desconocido),"4, 12",2/8/5,22297,25611,10602,"Shadowflame, Sorcerer's Shoes, Luden's Tempest, Horizon Focus, Doran's Ring, Desconocido, Farsight Alteration",2,2326,2326,5,0,2,13670,15,0,5,0,2,8,0,0,0,0,0,0,1,0,216,1661,352,286,11,9,1,MID,Mel (MID),EUW1_7285682456 - Mel (MID),15
65,EUW1_7285635060,1776,CLASSIC,15.2.652.1536,Red,Red,EL EKOINOMISTA,Kayle,Desconocido (Desconocido),"4, 12",8/1/6,40060,27605,16986,"Nashor's Tooth, Desconocido, Rabadon's Deathcap, Lich Bane, Doran's Blade, Verdant Barrier, Farsight Alteration",8,15332,25533,6,0,8,21334,18,1,3,1,8,1,0,0,0,0,0,1,5,1,290,15823,321,25,15,8,2,TOP,Kayle (TOP),EUW1_7285635060 - Kayle (TOP),15
77,EUW1_7285587737,2033,CLASSIC,15.2.652.1536,Red,Red,EL EKOINOMISTA,Orianna,Desconocido (Desconocido),"4, 12",5/5/16,26447,24863,15135,"Desconocido, Luden's Tempest, Rabadon's Deathcap, Desconocido, Sorcerer's Shoes, Shadowflame, Farsight Alteration",5,8898,19594,16,0,5,20285,18,0,16,3,5,5,1,1,0,0,0,0,4,0,258,2928,321,165,13,10,1,MID,Orianna (MID),EUW1_7285587737 - Orianna (MID),26
85,EUW1_7285545842,1622,CLASSIC,15.2.652.1536,Red,Red,EL EKOINOMISTA,Cassiopeia,Desconocido (Desconocido),"4, 12",2/5/7,17639,16997,10130,"Refillable Potion, Seraph's Embrace, Doran's Ring, Rylai's Crystal Scepter, Liandry's Anguish, Desconocido, Farsight Alteration",2,5653,8955,7,0,2,14462,15,0,3,0,2,5,0,0,0,0,0,0,3,0,201,3017,451,139,14,10,0,TOP,Cassiopeia (TOP),EUW1_7285545842 - Cassiopeia (TOP),14
92,EUW1_7285501019,2335,CLASSIC,15.2.652.1536,Blue,Blue,EL EKOINOMISTA,Hwei,Desconocido (Desconocido),"4, 12",8/4/17,44762,24129,16920,"Rabadon's Deathcap, Zhonya's Hourglass, Blighting Jewel, Sorcerer's Shoes, Desconocido, Liandry's Anguish, Farsight Alteration",7,4880,9023,17,0,8,24047,18,2,13,3,8,4,1,0,0,0,0,0,0,0,302,2031,918,104,30,13,6,MID,Hwei (MID),EUW1_7285501019 - Hwei (MID),29
101,EUW1_7285911444,1666,CLASSIC,15.2.652.1536,Red,Blue,EL EKOINOMISTA,Diana,Desconocido (Desconocido),"4, 11",2/6/5,16033,30625,11535,"Desconocido, Liandry's Anguish, Riftmaker, Desconocido, Amplifying Tome, Desconocido, Oracle Lens",0,1542,42535,5,0,2,14582,15,0,8,0,2,6,0,0,0,0,3,0,1,0,30,11588,296,228,17,3,0,JUNGLA,Diana (JUNGLA),EUW1_7285911444 - Diana (JUNGLA),13
111,EUW1_7285877509,1162,CLASSIC,15.2.652.1536,Red,Blue,EL EKOINOMISTA,Diana,Desconocido (Desconocido),"4, 11",0/5/2,9222,21166,6203,"Fiendish Codex, Liandry's Anguish, Slightly Magical Footwear, Desconocido, Desconocido, Desconocido, Oracle Lens",0,0,12660,2,0,0,8254,11,0,1,0,0,5,0,0,0,0,1,0,0,0,9,8468,204,144,12,4,2,JUNGLA,Diana (JUNGLA),EUW1_7285877509 - Diana (JUNGLA),7
121,EUW1_7285831415,1102,CLASSIC,15.2.652.1536,Blue,Blue,EL EKOINOMISTA,Diana,Desconocido (Desconocido),"4, 11",5/2/6,8539,14754,8499,"Riftmaker, Liandry's Anguish, Desconocido, Slightly Magical Footwear, Desconocido, Desconocido, Oracle Lens",3,2407,25991,6,0,5,8933,12,1,5,0,5,2,0,0,0,0,1,0,0,0,7,8877,139,41,21,3,6,JUNGLA,Diana (JUNGLA),EUW1_7285831415 - Diana (JUNGLA),13
136,EUW1_7285786630,1693,CLASSIC,15.2.652.1536,Blue,Red,EL EKOINOMISTA,Diana,Desconocido (Desconocido),"4, 11",7/7/4,16931,39565,11976,"Mercury's Treads, Riftmaker, Desconocido, Fiendish Codex, Liandry's Anguish, Amplifying Tome, Oracle Lens",3,0,29816,4,0,7,13323,15,0,9,0,7,7,1,0,0,0,1,0,0,0,40,14329,207,217,26,6,4,JUNGLA,Diana (JUNGLA),EUW1_7285786630 - Diana (JUNGLA),18
147,EUW1_7285727022,2075,CLASSIC,15.2.652.1536,Blue,Red,EL EKOINOMISTA,Orianna,Desconocido (Desconocido),"4, 12",2/9/6,23318,29188,11862,"Luden's Tempest, Zhonya's Hourglass, Amplifying Tome, Seraph's Embrace, Sorcerer's Shoes, Doran's Ring, Farsight Alteration",2,5991,8433,6,0,2,14491,15,0,14,3,2,9,0,0,0,0,0,1,1,0,229,1178,519,337,16,13,2,MID,Orianna (MID),EUW1_7285727022 - Orianna (MID),17
152,EUW1_7285682456,1778,CLASSIC,15.2.652.1536,Red,Blue,EL EKOINOMISTA,Mel,Desconocido (Desconocido),"4, 12",2/8/5,22297,25611,10602,"Shadowflame, Sorcerer's Shoes, Luden's Tempest, Horizon Focus, Doran's Ring, Desconocido, Farsight Alteration",2,2326,2326,5,0,2,13670,15,0,5,0,2,8,0,0,0,0,0,0,1,0,216,1661,352,286,11,9,1,MID,Mel (MID),EUW1_7285682456 - Mel (MID),15
165,EUW1_7285635060,1776,CLASSIC,15.2.652.1536,Red,Red,EL EKOINOMISTA,Kayle,Desconocido (Desconocido),"4, 12",8/1/6,40060,27605,16986,"Nashor's Tooth, Desconocido, Rabadon's Deathcap, Lich Bane, Doran's Blade, Verdant Barrier, Farsight Alteration",8,15332,25533,6,0,8,21334,18,1,3,1,8,1,0,0,0,0,0,1,5,1,290,15823,321,25,15,8,2,TOP,Kayle (TOP),EUW1_7285635060 - Kayle (TOP),15
177,EUW1_7285587737,2033,CLASSIC,15.2.652.1536,Red,Red,EL EKOINOMISTA,Orianna,Desconocido (Desconocido),"4, 12",5/5/16,26447,24863,15135,"Desconocido, Luden's Tempest, Rabadon's Deathcap, Desconocido, Sorcerer's Shoes, Shadowflame, Farsight Alteration",5,8898,19594,16,0,5,20285,18,0,16,3,5,5,1,1,0,0,0,0,4,0,258,2928,321,165,13,10,1,MID,Orianna (MID),EUW1_7285587737 - Orianna (MID),26
185,EUW1_7285545842,1622,CLASSIC,15.2.652.1536,Red,Red,EL EKOINOMISTA,Cassiopeia,Desconocido (Desconocido),"4, 12",2/5/7,17639,16997,10130,"Refillable Potion, Seraph's Embrace, Doran's Ring, Rylai's Crystal Scepter, Liandry's Anguish, Desconocido, Farsight Alteration",2,5653,8955,7,0,2,14462,15,0,3,0,2,5,0,0,0,0,0,0,3,0,201,3017,451,139,14,10,0,TOP,Cassiopeia (TOP),EUW1_7285545842 - Cassiopeia (TOP),14
192,EUW1_7285501019,2335,CLASSIC,15.2.652.1536,Blue,Blue,EL EKOINOMISTA,Hwei,Desconocido (Desconocido),"4, 12",8/4/17,44762,24129,16920,"Rabadon's Deathcap, Zhonya's Hourglass, Blighting Jewel, Sorcerer's Shoes, Desconocido, Liandry's Anguish, Farsight Alteration",7,4880,9023,17,0,8,24047,18,2,13,3,8,4,1,0,0,0,0,0,0,0,302,2031,918,104,30,13,6,MID,Hwei (MID),EUW1_7285501019 - Hwei (MID),29
